HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Name_length,FirstNameInitial,SurnameInitial,deck,num,Group,Group_size,All_Zero,Total_Spend
Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,False,15.0,M,O,B,0,0001,1,True,0.0
Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,True,12.0,J,V,F,0,0002,1,False,736.0
Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,13.0,A,S,A,0,0003,2,False,10383.0
Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,12.0,S,S,A,0,0003,2,False,5176.0
Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,True,17.0,W,S,F,1,0004,1,False,1091.0
Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,True,17.0,S,H,F,0,0005,1,False,774.0
Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,18.0,B,J,F,2,0006,2,False,1584.0
Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,18.0,C,J,G,0,0006,2,True,0.0
Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,True,13.0,A,B,F,3,0007,1,False,1018.0
Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,14.0,E,F,B,1,0008,3,True,0.0
Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,True,14.0,A,F,B,1,0008,3,True,0.0
Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,13.0,W,F,B,1,0008,3,False,8157.0
Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,12.0,B,B,F,1,0009,1,False,1309.0
Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,False,14.0,R,B,G,1,0010,1,False,809.0
Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,True,15.0,E,B,F,2,0011,1,False,1003.0
Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,False,13.0,J,P,F,2,0012,1,False,908.0
Mars,False,55 Cancri e,27.0,False,1286.0,122.0,171.5456767136041,0.0,0.0,False,11.0,F,E,F,3,0014,1,False,1579.545676713604
Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,False,15.0,C,H,F,4,0015,1,False,638.0
Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,10.0,A,U,F,5,0016,1,True,0.0
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,13.0,L,B,G,0,0017,2,True,0.0
Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,False,15.0,P,B,F,6,0017,2,False,1092.0
Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,17.0,A,B,E,0,0020,6,True,0.0
Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,False,17.0,G,B,E,0,0020,6,True,0.0
Earth,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,False,18.0,M,M,E,0,0020,6,True,0.0
